"nspnID","beta.b2a.bsl","lrnR_Appet.b2a.bsl","lrnR_Aver.b2a.bsl","PavBias.b2a.bsl","irNoiseXi.b2a.bsl","GoBias.b2a.bsl","iLik.b2a.bsl","beta.b2a.fu1","lrnR_Appet.b2a.fu1","lrnR_Aver.b2a.fu1","PavBias.b2a.fu1","irNoiseXi.b2a.fu1","GoBias.b2a.fu1","iLik.b2a.fu1","beta.b2a.fu2","lrnR_Appet.b2a.fu2","lrnR_Aver.b2a.fu2","PavBias.b2a.fu2","irNoiseXi.b2a.fu2","GoBias.b2a.fu2","iLik.b2a.fu2"
11627,0.377577,0.13637,0.196965,4.303744,0.079581,1.124083,-97.182247,NA,NA,NA,NA,NA,NA,NA,0.722734,0.418735,0.210432,0.07309,0.072948,0.61123,-99.802247
11635,8.4591,0.145623,0.03463,1.828848,0.157043,1.433616,-65.321802,NA,NA,NA,NA,NA,NA,NA,2.548505,0.13088,0.257848,0.183316,0.063835,1.715433,-64.379532
11718,8.46097,0.071213,0.110917,0.265356,0.041998,1.831857,-44.317919,NA,NA,NA,NA,NA,NA,NA,10.607782,0.056955,0.210672,0.140233,0.028786,1.859906,-39.985246
11759,6.270905,0.015699,0.21341,1.296549,0.046244,-0.266299,-69.976639,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11767,2.235229,0.434734,0.037804,0.148246,0.06731,0.951824,-88.75104,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11858,7.078045,0.155923,0.06109,0.090829,0.125755,0.526111,-67.659571,NA,NA,NA,NA,NA,NA,NA,5.96811,0.126021,0.304689,0.056612,0.029095,0.5167,-48.69557
11874,1.693999,0.053214,0.378005,0.783804,0.088897,0.543804,-95.229999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11882,12.817202,0.21684,0.286953,0.097718,0.034191,0.968993,-30.035397,NA,NA,NA,NA,NA,NA,NA,13.63732,0.181635,0.352241,0.151496,0.056384,0.115106,-49.709697
11932,9.0066,0.135889,0.164134,0.142095,0.02347,3.345879,-38.114034,NA,NA,NA,NA,NA,NA,NA,15.432457,0.509663,0.374551,0.235827,0.108476,1.219995,-48.7573
11940,4.533785,0.0766,0.189916,0.187991,0.042463,0.952639,-72.255078,NA,NA,NA,NA,NA,NA,NA,13.955268,0.538005,0.1864,0.520182,0.026554,1.425833,-44.310908
11965,8.864312,0.137618,0.049163,0.102692,0.112493,1.79402,-71.573137,NA,NA,NA,NA,NA,NA,NA,5.539245,0.31946,0.136941,0.078918,0.035585,0.77349,-46.571799
11981,4.424453,0.057016,0.652317,1.469837,0.163261,0.250974,-76.591702,11.12394,0.04455,0.107859,0.746214,0.056346,0.632203,-67.625368,23.499591,0.028103,0.025243,0.104523,0.046299,0.697208,-83.728361
12005,2.87671,0.062103,0.032761,0.256649,0.071708,0.060703,-98.581739,13.329901,0.067198,0.021849,0.02871,0.030584,0.042141,-73.28099,8.569118,0.090118,0.03267,0.044557,0.119422,0.52707,-84.418837
12013,0.945583,0.12628,0.054114,0.519554,0.087965,0.599016,-99.359332,NA,NA,NA,NA,NA,NA,NA,2.077776,0.654819,0.145727,0.158244,0.057461,-0.223996,-91.526561
12070,4.538509,0.017109,0.205715,0.826773,0.055859,-0.337175,-87.473906,NA,NA,NA,NA,NA,NA,NA,1.568331,0.27103,0.12552,1.529013,0.069836,-0.62773,-87.325651
12096,6.874663,0.063592,0.029385,0.673317,0.062151,1.124854,-73.372684,NA,NA,NA,NA,NA,NA,NA,5.358674,0.122822,0.383395,0.406416,0.037419,0.499439,-62.532928
12161,1.271417,0.15294,0.133499,0.159909,0.091916,0.734453,-94.765165,NA,NA,NA,NA,NA,NA,NA,12.644015,0.137111,0.040068,0.237065,0.072261,0.906726,-65.891342
12195,7.761259,0.3963,0.023401,0.207684,0.032417,0.969589,-61.100356,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12203,1.531024,0.340669,0.221369,0.140297,0.083607,-0.14754,-98.583677,NA,NA,NA,NA,NA,NA,NA,1.142554,0.49121,0.040583,0.343827,0.0551,0.576455,-96.028673
12211,10.977192,0.125669,0.034492,0.925757,0.054975,2.217243,-69.56744,NA,NA,NA,NA,NA,NA,NA,6.39008,0.108394,0.438154,0.333619,0.052918,0.28363,-69.08575
12260,9.513358,0.334892,0.280639,0.075629,0.082329,1.337636,-52.200714,NA,NA,NA,NA,NA,NA,NA,1.152368,0.212511,0.270097,0.266556,0.064377,0.766802,-95.639142
12302,8.538736,0.542907,0.027765,0.1256,0.073803,0.99753,-69.077336,NA,NA,NA,NA,NA,NA,NA,10.104818,0.125855,0.142026,0.947455,0.264549,1.620105,-86.558565
12310,2.543938,0.226632,0.572833,0.079196,0.06578,0.641408,-89.437945,NA,NA,NA,NA,NA,NA,NA,2.547324,0.031367,0.358624,0.117724,0.062513,1.12575,-84.304468
12385,4.378954,0.522352,0.108912,0.123285,0.05199,-0.099393,-73.054383,11.184418,0.323673,0.257498,0.100245,0.099568,0.684043,-48.532636,8.93094,0.215188,0.151622,0.145231,0.058182,0.031109,-48.817037
12393,2.488965,0.343411,0.720596,0.230009,0.093121,0.010039,-86.409703,11.029736,0.101932,0.263801,0.395147,0.23475,-0.100221,-72.353299,20.028243,0.236032,0.709323,0.381974,0.149722,1.12512,-54.559513
12401,1.929238,0.079867,0.047727,0.685502,0.117302,1.178675,-87.304555,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12435,7.550845,0.248816,0.452543,0.178687,0.141827,0.650233,-57.941573,NA,NA,NA,NA,NA,NA,NA,3.768061,0.433863,0.314493,0.081921,0.067472,-0.300488,-72.489032
12500,4.368874,0.040748,0.140048,0.894407,0.061209,0.424957,-77.555861,NA,NA,NA,NA,NA,NA,NA,1.00384,0.280966,0.246037,0.099341,0.062149,1.655608,-75.441585
12526,8.125283,0.12725,0.081927,0.087943,0.056737,0.856645,-69.19155,NA,NA,NA,NA,NA,NA,NA,2.628804,0.763283,0.699198,0.065191,0.048805,0.570106,-83.498247
12534,5.207723,0.135766,0.113528,0.28018,0.047057,0.902948,-76.297008,NA,NA,NA,NA,NA,NA,NA,1.605188,0.052004,0.115734,0.187868,0.059319,-0.392354,-99.671858
12542,10.497017,0.143775,0.175294,0.579857,0.032083,2.31262,-45.542327,NA,NA,NA,NA,NA,NA,NA,7.560927,0.234424,0.684043,0.059787,0.026201,1.027499,-30.271755
12567,1.117305,0.055018,0.0808,0.169797,0.08182,0.10725,-104.951107,NA,NA,NA,NA,NA,NA,NA,2.258062,0.049748,0.04586,0.469776,0.059183,0.645672,-94.684312
12591,1.293086,0.121452,0.032367,0.176362,0.083316,0.814429,-93.612265,NA,NA,NA,NA,NA,NA,NA,2.953921,0.068296,0.135643,0.254488,0.047799,1.080411,-77.584168
12658,12.710049,0.207405,0.592421,0.13497,0.168978,0.101475,-55.531259,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12682,11.455771,0.253322,0.233719,0.156621,0.030516,1.22026,-33.223076,10.623723,0.163786,0.187232,0.352302,0.053338,1.133308,-42.345133,18.01278,0.359894,0.079514,0.205156,0.038139,0.866692,-37.745805
12690,2.19145,0.066545,0.500964,0.693747,0.060186,1.205837,-76.963594,8.644772,0.121529,0.207748,0.028931,0.053782,1.17258,-66.336396,3.491373,0.288815,0.130103,0.087754,0.05194,1.554743,-74.313178
12757,8.160499,0.127803,0.36034,0.113905,0.027544,-0.379158,-33.767399,NA,NA,NA,NA,NA,NA,NA,6.306111,0.031995,0.175627,0.052868,0.049896,-0.876592,-72.354275
12773,2.152554,0.143547,0.021797,0.20293,0.03315,2.786494,-33.891686,NA,NA,NA,NA,NA,NA,NA,25.005443,0.221232,0.147018,0.3476,0.170047,0.671245,-61.44662
12799,2.993139,0.147238,0.019793,0.235542,0.043086,2.003158,-52.865743,NA,NA,NA,NA,NA,NA,NA,7.194331,0.287668,0.038631,0.108612,0.060388,0.657751,-64.565635
12831,4.762336,0.293419,0.371688,2.47005,0.356793,0.400413,-88.699159,NA,NA,NA,NA,NA,NA,NA,2.972092,0.071259,0.072105,0.914096,0.092248,1.137545,-83.554456
12849,9.374628,0.352363,0.316933,0.098126,0.132889,1.092173,-54.592834,NA,NA,NA,NA,NA,NA,NA,12.796906,0.196504,0.28013,0.084452,0.03491,-0.174648,-35.523204
12948,13.661989,0.177893,0.157804,0.149728,0.053799,1.154339,-39.014866,NA,NA,NA,NA,NA,NA,NA,11.421376,0.271657,0.139806,0.103646,0.037855,1.410321,-35.384327
13045,3.838066,0.148143,0.132261,0.217738,0.061686,0.865468,-74.996394,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13078,4.602771,0.100513,0.106349,0.668152,0.059193,-0.55415,-92.682552,NA,NA,NA,NA,NA,NA,NA,5.207343,0.22767,0.07304,0.109476,0.050508,0.434033,-67.823759
13128,2.039093,0.065346,0.336311,0.460455,0.053912,-1.388716,-75.408043,NA,NA,NA,NA,NA,NA,NA,6.663743,0.042232,0.145117,0.24265,0.03302,1.923168,-60.309262
13144,8.36851,0.202733,0.030247,0.139949,0.105812,0.155277,-73.526818,NA,NA,NA,NA,NA,NA,NA,8.794518,0.43187,0.068515,0.116928,0.11714,0.62497,-65.405484
13151,1.400771,0.101062,0.079312,0.226946,0.089353,1.107099,-85.562142,10.439397,0.200784,0.006631,0.475481,0.560591,1.283645,-105.532875,NA,NA,NA,NA,NA,NA,NA
13169,8.563422,0.428725,0.078491,0.101253,0.069567,1.331026,-58.623798,NA,NA,NA,NA,NA,NA,NA,5.985006,0.097407,0.127985,0.545262,0.034045,0.188284,-74.252147
13177,9.514621,0.236412,0.053925,0.161042,0.061269,0.751754,-54.365272,NA,NA,NA,NA,NA,NA,NA,14.945119,0.095023,0.063462,0.152719,0.154776,0.97032,-75.649095
13243,5.800337,0.164469,0.010586,0.100856,0.147418,1.093885,-88.379018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13276,3.152246,0.476199,0.028443,0.145786,0.066593,0.454478,-86.39894,10.800128,0.184533,0.434067,0.047657,0.516133,1.17681,-91.601276,11.325587,0.063855,0.079406,0.778444,0.072351,0.823759,-69.718978
13284,5.346636,0.048769,0.15583,0.139057,0.044337,1.913747,-54.742092,NA,NA,NA,NA,NA,NA,NA,3.044422,0.144011,0.494376,0.073966,0.046086,1.061907,-69.861447
13300,0.798899,0.14867,0.032507,0.300866,0.082553,0.012522,-104.783425,NA,NA,NA,NA,NA,NA,NA,0.974566,0.173759,0.168048,0.150531,0.063966,-0.295001,-101.171656
13441,10.669104,0.253525,0.069085,0.13926,0.099096,1.512246,-58.269206,NA,NA,NA,NA,NA,NA,NA,6.934666,0.238576,0.074486,0.130339,0.066972,1.915366,-60.986629
13458,1.07551,0.070977,0.108242,0.185109,0.08549,0.658196,-98.898955,NA,NA,NA,NA,NA,NA,NA,0.731281,0.076906,0.067633,0.172867,0.066465,-0.035234,-106.994947
13615,3.177542,0.097847,0.146576,0.259395,0.074062,1.588108,-66.771007,NA,NA,NA,NA,NA,NA,NA,4.254815,0.117827,0.256909,0.492523,0.126296,0.544588,-74.609696
13698,8.402936,0.181168,0.086085,0.873785,0.06406,1.483014,-53.911305,NA,NA,NA,NA,NA,NA,NA,11.869953,0.076657,0.074503,0.576746,0.030548,0.394891,-47.426999
13706,2.216641,0.161911,0.021158,0.302875,0.065106,0.367753,-91.845541,NA,NA,NA,NA,NA,NA,NA,0.992542,0.051035,0.663306,0.191747,0.06924,0.653418,-98.754651
13771,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13979,4.990032,0.125993,0.584627,0.042523,0.060369,0.690779,-67.006005,NA,NA,NA,NA,NA,NA,NA,8.143636,0.287588,0.344912,0.05566,0.028875,0.800729,-33.186844
